01,01001,1,アマランサス　玄穀　,0,358,1498,13.5,12.7,(12.5),6.0,5.0,1.18,1.48,2.10,(0),64.9,63.5,1.1,6.3,7.4,2.9,1,600,160,270,540,9.4,5.8,0.92,6.14,1,13,7,59,(0),0,2,0,2,Tr,(0),1.3,2.3,0.2,0.7,(0),0.04,0.14,1.0,0.58,(0),130,1.69,16.3,(0),0,-,-,-,-,-,-,-,-,-,-,
01,01002,2,あわ　精白粒　,0,367,1538,13.3,11.2,10.0,4.4,4.1,0.67,0.52,2.75,(0),69.7,69.6,0.4,2.9,3.3,1.4,1,300,14,110,280,4.8,2.5,0.49,0.88,0,2,1,22,(0),(0),(0),(0),(0),(0),(0),0.6,0,2.2,0,(0),0.56,0.07,2.9,0.18,(0),29,1.83,14.4,0,0,-,-,-,-,-,-,-,-,-,-,"うるち、もちを含む
歩留り： 70～80 %　 "
01,01003,3,あわ　あわもち　,0,214,893,48.0,5.1,(4.5),1.3,(1.2),(0.22),(0.19),(0.73),0,45.3,-,0,1.5,1.5,0.3,0,62,5,12,39,0.7,1.1,0.20,0.46,0,1,0,40,0,0,0,0,0,0,0,0.1,0,1.2,0,0,0.08,0.01,0.3,0.03,0,7,0.61,3.4,0,0,-,-,-,-,-,-,-,-,-,-,原材料配合割合： もちあわ50、もち米50　 
01,01004,4,えんばく オートミール　,0,380,1590,10.0,13.7,12.0,5.7,(5.1),(0.94),(1.80),(2.09),(0),69.1,63.1,3.2,6.2,9.4,1.5,3,260,47,100,370,3.9,2.1,0.28,-,0,18,0,110,(0),-,-,-,(0),(0),(0),0.6,0.1,0,0,(0),0.20,0.08,1.1,0.11,(0),30,1.29,21.7,(0),0,-,-,-,-,-,-,-,-,-,-,別名： オート、オーツ　 
01,01005,5,おおむぎ 七分つき押麦　,0,341,1427,14.0,10.9,(9.5),2.1,1.8,0.58,0.20,0.91,(0),72.1,(71.2),6.3,4.0,10.3,0.9,2,220,23,46,180,1.3,1.4,0.32,0.85,-,-,-,-,(0),-,-,-,(0),(0),(0),0.2,Tr,0.1,0,(0),0.22,0.07,3.2,0.14,(0),17,0.43,-,(0),0,-,-,-,-,-,-,-,-,-,-,歩留り： 玄皮麦60～65 %、玄裸麦65～70 %　 
01,01006,6,おおむぎ　押麦　,0,340,1423,14.0,6.2,5.4,1.3,(1.1),(0.36),(0.12),(0.56),(0),77.8,71.2,6.0,3.6,9.6,0.7,2,170,17,25,110,1.0,1.2,0.40,-,0,1,0,8,(0),-,-,-,(0),(0),(0),0.1,0,0,0,(0),0.06,0.04,1.6,0.14,(0),9,0.46,2.6,(0),0,-,-,-,-,-,-,-,-,-,-,歩留り： 玄皮麦45～55 %、玄裸麦55～65 %　 
01,01007,7,おおむぎ　米粒麦　,0,343,1435,14.0,7.0,(6.1),2.1,(1.8),(0.58),(0.20),(0.91),(0),76.2,68.8,6.0,2.7,8.7,0.7,2,170,17,25,140,1.2,1.2,0.37,-,Tr,1,Tr,9,(0),-,-,-,(0),(0),(0),0.1,0,0,0,(0),0.19,0.05,2.3,0.19,(0),10,0.64,3.5,(0),0,-,-,-,-,-,-,-,-,-,-,"別名： 切断麦
白麦を含む
歩留り： 玄皮麦40～50 %、玄裸麦50～60 %　 "
01,01008,8,おおむぎ　大麦めん　乾　,0,339,1418,14.0,12.9,(11.4),1.7,(1.5),(0.42),(0.16),(0.82),(0),68.0,(72.2),3.6,2.7,6.3,3.4,1100,240,27,63,200,2.1,1.5,0.33,0.90,-,-,-,-,(0),-,-,-,(0),(0),(0),Tr,Tr,0,0,(0),0.21,0.04,3.5,0.09,(0),19,0.64,-,(0),2.8,-,-,-,-,-,-,-,-,-,-,原材料配合割合： 大麦粉 50、小麦粉 50　 
01,01009,9,おおむぎ　大麦めん　ゆで　,0,122,510,70.0,4.8,(4.3),0.6,(0.5),(0.15),(0.05),(0.29),(0),24.3,(25.2),1.2,1.3,2.5,0.3,64,10,12,18,61,0.9,0.6,0.13,0.27,-,-,-,-,(0),-,-,-,(0),(0),(0),Tr,Tr,0,0,(0),0.04,0.01,1.0,0.01,(0),5,0.26,-,(0),0.2,-,-,-,-,-,-,-,-,-,260,原材料配合割合： 大麦粉 50、小麦粉 50　 
01,01010,10,おおむぎ　麦こがし　,0,391,1636,3.5,12.5,(10.8),5.0,(4.2),(1.39),(0.47),(2.17),(0),77.1,(79.9),5.2,10.3,15.5,1.9,2,490,43,130,340,3.1,3.8,0.41,1.81,-,-,-,-,(0),-,-,-,(0),(0),(0),0.5,0.1,0.2,0,(0),0.09,0.10,7.6,0.09,(0),24,0.28,-,(0),0,-,-,-,-,-,-,-,-,-,-,別名： こうせん、はったい粉　 
01,01011,11,きび　精白粒　　　,0,363,1520,13.8,11.3,9.7,3.3,2.9,0.44,0.56,1.78,(0),70.9,71.5,Tr,1.6,1.6,0.7,2,200,9,84,160,2.1,2.7,0.38,-,0,2,1,16,(0),(0),(0),(0),(0),(0),(0),Tr,Tr,0.5,0.3,(0),0.34,0.09,3.7,0.20,(0),13,0.95,7.9,0,0,-,-,-,-,-,-,-,-,-,-,"うるち、もちを含む
歩留り： 70～80 %　 "
