04,04001,251,あずき　全粒　乾　　　,0,339,1418,15.5,20.3,17.0,2.2,0.9,0.27,0.07,0.55,0,58.7,46.7,1.2,16.6,17.8,3.3,1,1500,75,120,350,5.4,2.3,0.67,-,0,1,2,210,(0),-,-,-,7,1,(0),0.1,0.2,3.0,10.7,8,0.45,0.16,2.2,0.39,(0),130,1.00,9.6,Tr,0,-,-,-,-,-,-,-,-,-,-,　 
04,04002,252,あずき　全粒　ゆで　　　,0,143,598,64.8,8.9,7.5,1.0,(0.4),(0.12),(0.03),(0.25),(0),24.2,19.8,0.8,11.0,11.8,1.1,1,460,30,43,100,1.7,0.9,0.30,-,0,Tr,1,96,(0),-,-,-,Tr,(0),(0),0.1,0.1,1.4,4.8,3,0.15,0.06,Tr,0.11,(0),25,0.46,3.5,Tr,0,-,-,-,-,-,-,-,-,-,230,　 
04,04003,253,あずき　ゆで小豆缶詰　　　,0,218,912,45.3,4.4,3.5,0.4,0.2,0.07,0.01,0.14,(0),49.2,47.7,0.5,2.9,3.4,0.7,90,160,13,36,80,1.3,0.4,0.12,0.28,-,-,-,-,(0),-,-,-,0,(0),(0),0,0,0.8,2.0,4,0.02,0.04,0.3,0.05,(0),13,0.14,-,Tr,0.2,-,-,-,-,-,-,-,-,-,-,液汁を含む　 
04,04004,254,あずき　あん　こしあん　　,0,155,649,62.0,9.8,8.3,0.6,(0.3),(0.07),(0.02),(0.15),(0),27.1,26.0,0.3,6.5,6.8,0.5,3,60,25,30,85,2.8,1.1,0.23,-,-,-,-,-,(0),-,-,-,0,(0),(0),0,0,1.4,3.8,7,0.02,0.05,0.1,0,(0),2,0.07,-,Tr,0,-,-,-,-,-,-,-,-,-,-,生こしあん　 
04,04005,255,あずき　あん　さらしあん　　,0,385,1611,5.0,26.2,22.0,1.0,(0.4),(0.12),(0.03),(0.25),(0),66.8,54.0,1.0,26.6,27.6,1.0,11,180,60,85,220,7.4,2.4,0.41,-,2,1,14,150,(0),-,-,-,(0),(0),(0),0.1,0,3.5,4.0,5,0.01,0.03,0.8,0.02,(0),2,0.10,7.4,Tr,0,-,-,-,-,-,-,-,-,-,-,乾燥あん　 
04,04006,256,あずき　あん　つぶしあん　　,0,244,1021,39.3,5.6,4.8,0.6,0.3,0.09,0.02,0.16,0,54.0,54.7,0.5,5.2,5.7,0.5,56,160,19,23,73,1.5,0.7,0.20,0.40,-,-,-,-,(0),0,0,0,0,(0),(0),0.1,Tr,0.9,1.9,6,0.02,0.03,0.1,0.03,0,8,0.18,-,Tr,0.1,-,-,-,-,-,-,-,-,-,-,試料： しょ糖添加品 　 
04,04007,257,いんげんまめ　全粒　乾　　　,0,333,1393,16.5,19.9,15.6,2.2,1.3,0.25,0.19,0.79,(0),57.8,41.2,3.3,16.0,19.3,3.6,1,1500,130,150,400,6.0,2.5,0.75,1.90,0,1,3,110,(0),-,-,-,12,1,(0),0.1,0,2.0,0.1,8,0.50,0.20,2.0,0.36,(0),85,0.63,9.4,Tr,0,-,-,-,-,-,-,-,-,-,-,金時類、白金時類、手亡類、鶉類、大福、虎豆を含む　 
04,04008,258,いんげんまめ　全粒　ゆで　　　,0,143,598,64.3,8.5,(6.7),1.0,(0.6),(0.11),(0.08),(0.36),(0),24.8,16.9,1.5,11.8,13.3,1.4,Tr,470,60,47,150,2.0,1.1,0.32,0.84,0,Tr,Tr,27,(0),-,-,-,Tr,(0),(0),0,0,1.3,0.1,3,0.18,0.08,0.6,0.09,(0),33,0.14,3.8,Tr,0,-,-,-,-,-,-,-,-,-,220,金時類、白金時類、手亡類、鶉類、大福、虎豆を含む　 
04,04009,259,いんげんまめ　うずら豆　,0,237,992,41.4,6.7,5.9,1.3,0.6,0.11,0.06,0.40,(0),49.6,45.9,1.3,4.6,5.9,1.0,110,230,41,25,100,2.3,0.6,0.14,-,-,-,-,-,(0),-,-,-,(0),(0),(0),0,0,0.6,0,3,0.03,0.01,0.3,0.04,(0),23,0.14,-,Tr,0.3,-,-,-,-,-,-,-,-,-,-,"試料（原材料）： 金時類 
煮豆　 "
04,04010,260,いんげんまめ　こしあん　　　,0,155,649,62.3,9.4,(7.4),0.9,(0.5),(0.10),(0.08),(0.32),(0),27.0,-,0.5,8.0,8.5,0.4,9,55,60,45,75,2.7,0.8,0.09,-,-,-,-,-,(0),-,-,-,(0),(0),(0),0,0,1.5,0.1,3,0.01,0.02,0,0,(0),14,0.07,-,Tr,0,-,-,-,-,-,-,-,-,-,-,試料： 生こしあん　 
