08,08009,935,（きくらげ類）　しろきくらげ　ゆで　　,0,14,59,92.6,0.4,(0.3),Tr,-,-,-,-,(0),6.7,(0.3),1.2,5.2,6.4,0.3,2,79,27,8,11,0.2,0.3,0.01,0.01,0,0,0,0,0,(0),0,(0),(0),(0),1.2,(0),(0),(0),(0),0,0,0.05,Tr,0.01,(0),1,0,4.4,0,0,-,-,-,-,-,-,-,-,-,1500,"試料： 栽培品
エネルギー： 暫定値　 "
08,08010,936,くろあわびたけ　生　　　,10,19,79,90.2,3.7,(2.3),0.4,(0.2),(0.03),(0.01),(0.11),(0),4.9,1.3,0.2,3.9,4.1,0.8,3,300,2,18,100,0.5,0.7,0.15,0.07,0,3,Tr,1,0,(0),0,(0),(0),(0),0.3,0,0,0,0,0,0.21,0.22,2.9,0.09,(0),65,1.32,10.0,Tr,0,-,-,-,-,-,-,-,-,-,-,"試料： 栽培品
廃棄部位： 柄の基部（いしづき）
エネルギー： 暫定値　 "
08,08039,937,しいたけ　生しいたけ　菌床栽培　生　　,20,19,79,90.3,3.0,1.9,0.3,0.2,0.04,0.01,0.15,(0),5.7,0.6,0.4,3.8,4.2,0.6,1,280,1,15,87,0.3,1.0,0.09,0.22,0,6,1,4,(0),(0),(0),(0),(0),(0),0.4,(0),(0),(0),(0),(0),0.13,0.20,3.1,0.21,(0),44,1.05,7.3,0,0,-,-,-,-,-,-,-,-,0.2,-,"試料： 栽培品
廃棄部位： 柄全体
廃棄率： 柄の基部（いしづき）のみを除いた場合5 %
エネルギー： 暫定値　 "
08,08040,938,しいたけ　生しいたけ　菌床栽培　ゆで　　,0,17,72,91.5,2.5,(1.6),0.4,(0.3),(0.05),(0.01),(0.19),(0),5.1,(0.6),0.2,4.2,4.4,0.5,1,200,1,11,65,0.3,0.8,0.06,0.16,-,-,-,-,(0),(0),(0),(0),(0),(0),0.5,(0),(0),(0),(0),(0),0.08,0.11,2.0,0.12,(0),14,0.71,-,0,0,-,-,-,-,-,-,-,-,-,110,"試料： 栽培品
柄全体を除いた傘のみ
エネルギー： 暫定値　 "
08,08041,939,しいたけ　生しいたけ　菌床栽培　油いため　　,0,57,238,84.7,3.3,(2.0),4.1,(3.8),(0.30),(2.23),(1.13),(0),7.3,(0.8),0.2,4.5,4.7,0.7,1,300,2,16,92,0.4,1.0,0.09,0.24,-,-,-,-,(0),(0),(0),(0),(0),(0),0.5,(0.6),(Tr),(1.2),(Tr),(4),0.16,0.18,3.3,0.18,(0),20,1.28,-,0,0,-,-,-,-,-,-,-,3.7,-,92,"試料： 栽培品
柄全体を除いた傘のみ
エネルギー： 暫定値　 "
08,08042,940,しいたけ　生しいたけ　原木栽培　生　　,20,23,96,88.3,3.1,1.9,0.4,0.2,0.04,0.01,0.16,(0),7.6,0.8,0.4,5.1,5.5,0.7,1,270,2,16,61,0.4,0.7,0.06,0.27,0,1,Tr,1,(0),(0),(0),(0),(0),(0),0.4,(0),(0),(0),(0),(0),0.13,0.22,3.4,0.19,(0),75,0.95,7.7,0,0,-,-,-,-,-,-,-,-,0.2,-,"試料： 栽培品
廃棄部位： 柄全体
廃棄率： 柄の基部（いしづき）のみを除いた場合5 %
エネルギー： 暫定値　 "
08,08043,941,しいたけ　生しいたけ　原木栽培　ゆで　　,0,19,78,90.8,2.4,(1.5),0.4,(0.3),(0.05),(0.01),(0.19),(0),5.9,(0.6),0.2,4.6,4.8,0.4,Tr,170,1,10,45,0.2,0.5,0.05,0.19,-,-,-,-,(0),(0),(0),(0),(0),(0),0.4,(0),(0),(0),(0),(0),0.06,0.12,2.0,0.10,(0),25,0.56,-,0,0,-,-,-,-,-,-,-,-,-,110,"試料： 栽培品
柄全体を除いた傘のみ
エネルギー： 暫定値　 "
08,08044,942,しいたけ　生しいたけ　原木栽培　油いため　　,0,73,306,81.3,3.8,(2.3),5.4,(5.1),(0.40),(3.01),(1.49),(Tr),8.8,(0.9),0.3,6.0,6.4,0.7,1,330,2,18,75,0.4,0.7,0.08,0.32,-,-,-,-,(0),(0),(0),(0),(0),(0),0.5,(0.8),(Tr),(1.6),0.1,(6),0.14,0.26,4.4,0.18,(0),51,1.15,-,0,0,-,-,-,-,-,-,-,5.0,-,84,"試料： 栽培品
柄全体を除いた傘のみ
エネルギー： 暫定値　 "
08,08013,943,しいたけ　乾しいたけ　乾　　,20,182,761,9.7,19.3,12.5,3.7,(2.2),(0.44),(0.07),(1.61),0,63.4,11.8,3.0,38.0,41.0,3.9,6,2100,10,110,310,1.7,2.3,0.50,0.87,4,4,5,3,0,(0),0,(0),(0),(0),12.7,0,0,0,0,0,0.50,1.40,16.8,0.45,(0),240,7.93,36.6,0,0,-,-,-,-,-,-,-,-,1.9,-,"どんこ、こうしんを含む
試料： 栽培品
廃棄部位： 柄全体
エネルギー： 暫定値　 "
08,08014,944,しいたけ　乾しいたけ　ゆで　　,0,42,176,79.1,3.2,(2.1),0.5,(0.3),(0.06),(0.01),(0.22),(0),16.7,(2.7),0.3,7.2,7.5,0.5,2,220,3,13,43,0.3,0.4,0.09,0.11,0,1,3,1,0,(0),0,(0),(0),(0),1.1,(0),(0),(0),(0),0,0.06,0.23,2.0,0.10,(0),44,1.05,10.4,0,0,-,-,-,-,-,-,-,-,-,570,"どんこ、こうしんを含む
試料： 栽培品
柄全体を除いた傘のみ
エネルギー： 暫定値　 "
08,08015,945,（しめじ類）　はたけしめじ　生　　,15,15,64,92.0,2.6,-,0.3,-,-,-,-,(0),4.5,-,0.2,2.5,2.7,0.7,4,260,1,8,64,0.6,0.4,0.13,0.14,-,-,-,-,(0),(0),(0),(0),(0),(0),0.9,0,0,0,0,(0),0.12,0.44,5.3,0.11,(0),20,2.08,-,0,0,-,-,-,-,-,-,-,-,-,-,"試料： 栽培品及び天然物
廃棄部位： 柄の基部（いしづき）
エネルギー： 暫定値　 "
08,08045,946,（しめじ類）　はたけしめじ　ゆで　　,0,17,71,91.3,2.6,-,0.3,-,-,-,-,(0),5.1,-,0.2,4.4,4.6,0.6,3,200,1,8,61,0.5,0.4,0.13,0.13,-,-,-,-,(0),(0),(0),(0),(0),(0),1.1,(0),(0),(0),(0),(0),0.08,0.28,3.6,0.07,(0),6,1.53,-,0,0,-,-,-,-,-,-,-,-,-,77,"試料： 栽培品及び天然物
柄の基部（いしづき）を除いたもの
エネルギー： 暫定値　 "
