11,11001,1447,＜畜肉類＞いのしし　肉　脂身つき　生　　　,0,268,1121,60.1,18.8,-,19.8,18.6,5.83,9.37,2.55,86,0.5,-,(0),(0),(0),0.8,45,270,4,20,170,2.5,3.2,0.12,0.01,0,11,Tr,1,4,-,-,-,Tr,4,0.4,0.5,0,0.1,0,1,0.24,0.29,5.2,0.35,1.7,1,1.02,5.0,1,0.1,-,-,-,-,-,-,-,-,-,-,別名： ぼたん肉　 
11,11002,1448,＜畜肉類＞いのぶた　肉　脂身つき　生　　　,0,304,1272,56.7,18.1,-,24.1,23.2,9.23,10.15,2.81,66,0.3,-,(0),(0),(0),0.8,50,280,4,19,150,0.8,1.8,0.06,0.01,-,-,-,-,11,-,-,-,(0),11,1.1,0.4,0,Tr,0,3,0.62,0.16,6.2,0.48,0.7,Tr,1.23,-,1,0.1,-,-,-,-,-,-,-,-,-,-,　 
11,11003,1449,＜畜肉類＞うさぎ　肉　赤肉　生　　　,0,146,611,72.2,20.5,17.6,6.3,4.7,1.92,1.29,1.29,63,Tr,-,(0),(0),(0),1.0,35,400,5,27,300,1.3,1.0,0.05,0.01,-,-,-,-,3,-,-,-,Tr,3,0,0.5,0,0,0,1,0.10,0.19,8.5,0.53,5.6,7,0.74,-,1,0.1,-,-,-,-,-,-,-,-,-,-,試料： 家うさぎ　 
11,11004,1450,＜畜肉類＞うし　［和牛肉］　かた　脂身つき　生　,0,286,1197,58.8,17.7,-,22.3,20.6,7.12,11.93,0.66,72,0.3,-,(0),(0),(0),0.9,47,280,4,19,150,0.9,4.9,0.07,0,-,-,-,-,Tr,-,-,-,Tr,Tr,0,0.4,0,Tr,0,7,0.08,0.21,4.3,0.32,1.5,6,1.00,-,1,0.1,-,-,-,-,-,-,-,-,-,-,"試料： 黒毛和種（去勢）
皮下脂肪： 4.3 %、筋間脂肪： 11.0 %　 "
11,11005,1451,＜畜肉類＞うし　［和牛肉］　かた　皮下脂肪なし　生　,0,265,1109,60.7,18.3,-,19.8,18.3,6.35,10.51,0.61,71,0.3,-,(0),(0),(0),0.9,48,290,4,19,160,0.8,5.1,0.08,0,-,-,-,-,Tr,-,-,-,Tr,Tr,0,0.4,0,Tr,0,6,0.08,0.22,4.5,0.33,1.6,6,1.04,-,1,0.1,-,-,-,-,-,-,-,-,-,-,"試料： 黒毛和種（去勢）
筋間脂肪： 11.5 %　 "
11,11006,1452,＜畜肉類＞うし　［和牛肉］　かた　赤肉　生　,0,201,841,66.3,20.2,-,12.2,11.2,4.01,6.22,0.44,66,0.3,-,(0),(0),(0),1.0,52,320,4,21,170,2.7,5.7,0.09,0,-,-,-,-,0,-,-,-,Tr,0,0,0.3,0,0,0,4,0.09,0.24,4.9,0.37,1.7,7,1.14,-,1,0.1,-,-,-,-,-,-,-,-,-,-,"試料： 黒毛和種（去勢）
皮下脂肪及び筋間脂肪を除いたもの　 "
11,11007,1453,＜畜肉類＞うし　［和牛肉］　かた　脂身　生　,0,751,3142,17.8,4.0,-,78.0,72.8,24.27,43.38,1.89,110,0,-,(0),(0),(0),0.2,19,81,2,4,35,0.6,0.4,0.02,0,-,-,-,-,3,-,-,-,(0),3,0,0.9,Tr,0.1,0,23,0.02,0.03,1.0,0.06,0.5,1,0.24,-,0,0,-,-,-,-,-,-,-,-,-,-,"試料： 黒毛和種（去勢）
皮下脂肪及び筋間脂肪　 "
11,11008,1454,＜畜肉類＞うし　［和牛肉］　かたロース　脂身つき　生　,0,411,1720,47.9,13.8,(11.8),37.4,(35.0),(12.19),(20.16),(1.06),89,0.2,-,(0),(0),(0),0.7,42,210,3,14,120,0.7,4.6,0.06,0.01,-,-,-,-,3,-,-,-,1,3,0,0.5,0,Tr,0,8,0.06,0.17,3.2,0.18,1.1,6,0.90,-,1,0.1,-,-,-,-,-,-,-,-,-,-,"試料： 黒毛和種（去勢）
皮下脂肪： 1.8 %、筋間脂肪： 17.0 %　 "
11,11009,1455,＜畜肉類＞うし　［和牛肉］　かたロース　皮下脂肪なし　生　,0,403,1686,48.6,14.0,(11.9),36.5,(34.1),(11.88),(19.68),(1.04),88,0.2,-,(0),(0),(0),0.7,42,210,3,14,120,0.7,4.6,0.06,0.01,-,-,-,-,3,-,-,-,1,3,0,0.5,0,Tr,0,8,0.06,0.17,3.3,0.18,1.1,6,0.91,-,1,0.1,-,-,-,-,-,-,-,-,-,-,"試料： 黒毛和種（去勢）
筋間脂肪： 17.4 %　 "
11,11010,1456,＜畜肉類＞うし　［和牛肉］　かたロース　赤肉　生　,0,316,1322,56.4,16.5,(13.9),26.1,24.4,8.28,14.17,0.83,84,0.2,-,(0),(0),(0),0.8,49,240,3,16,140,2.4,5.6,0.07,0.01,-,-,-,-,3,-,-,-,Tr,3,0,0.4,0,Tr,0,7,0.07,0.21,3.8,0.21,1.2,7,1.07,-,1,0.1,-,-,-,-,-,-,-,-,-,-,"試料： 黒毛和種（去勢）
皮下脂肪及び筋間脂肪を除いたもの　 "
