06,06001,389,アーティチョーク　花らい　生　　　,75,48,201,85.1,2.3,-,0.2,(0.1),(0.05),(0.01),(0.08),(0),11.3,(1.0),6.1,2.6,8.7,1.1,21,430,52,50,61,0.8,0.2,0.05,0.19,-,-,-,-,(0),0,6,0,6,1,(0),0.4,0,0,0,2,0.08,0.10,1.2,0.08,(0),81,0.51,-,15,0.1,-,Tr,-,-,-,-,-,-,-,-,"別名： ちょうせんあざみ
廃棄部位： 花床の基部及び総包の一部　 "
06,06002,390,アーティチョーク　花らい　ゆで　　　,80,45,188,85.9,2.1,-,0.1,(0.1),(0.02),(Tr),(0.04),(0),10.8,(0.9),6.3,2.3,8.6,1.1,12,380,47,46,55,0.7,0.2,0.05,0.15,-,-,-,-,(0),0,5,0,5,Tr,(0),0.4,0,0,0,2,0.07,0.08,1.1,0.06,(0),76,0.51,-,11,0,-,Tr,-,-,-,-,-,-,-,110,"別名： ちょうせんあざみ
廃棄部位： 花床の基部及び総包の一部　 "
06,06003,391,あさつき　葉　生　　　,0,33,138,89.0,4.2,(2.9),0.3,(0.1),(0.04),(0.01),(0.08),(0),5.6,-,0.7,2.6,3.3,0.9,4,330,20,16,86,0.7,0.8,0.09,0.40,-,-,-,-,(0),0,740,12,750,62,(0),0.9,Tr,1.6,0,50,0.15,0.16,0.8,0.36,(0),210,0.62,-,26,0,-,0,-,-,-,-,-,-,-,-,　 
06,06004,392,あさつき　葉　ゆで　　　,0,39,163,87.3,4.2,(2.9),0.3,(0.1),(0.04),(0.01),(0.08),(0),7.3,-,1.3,2.1,3.4,0.9,4,330,21,17,85,0.7,0.8,0.09,0.43,-,-,-,-,(0),0,710,11,720,60,(0),0.9,Tr,1.6,0,43,0.17,0.15,0.7,0.27,(0),200,0.55,-,27,0,-,0,-,-,-,-,-,-,-,96,　 
06,06005,393,あしたば　茎葉　生　　　,2,33,138,88.6,3.3,-,0.1,-,-,-,-,(0),6.7,-,1.5,4.1,5.6,1.3,60,540,65,26,65,1.0,0.6,0.16,1.05,-,-,-,-,(0),0,5300,0,5300,440,(0),2.6,0.2,1.4,0.1,500,0.10,0.24,1.4,0.16,(0),100,0.92,-,41,0.2,-,Tr,-,-,-,-,-,-,-,-,"別名： あしたぐさ、はちじょうそう
廃棄部位： 基部　 "
06,06006,394,あしたば　茎葉　ゆで　　　,0,31,130,89.5,2.9,-,0.1,-,-,-,-,(0),6.6,-,1.4,3.9,5.3,0.9,43,390,58,20,51,0.5,0.3,0.13,0.92,-,-,-,-,(0),0,5200,0,5200,440,(0),2.7,Tr,1.4,0,380,0.07,0.16,0.8,0.10,(0),75,0.45,-,23,0.1,-,Tr,-,-,-,-,-,-,-,100,"別名： あしたぐさ、はちじょうそう
基部を除いたもの
ゆでた後水冷し、手搾りしたもの　 "
06,06007,395,アスパラガス　若茎　生　　　,20,22,92,92.6,2.6,1.8,0.2,(0.2),(0.07),(0),(0.08),Tr,3.9,2.1,0.4,1.4,1.8,0.7,2,270,19,9,60,0.7,0.5,0.10,0.19,1,0,0,2,(0),5,370,9,380,31,(0),1.5,Tr,0.2,0,43,0.14,0.15,1.0,0.12,(0),190,0.59,1.8,15,0,-,Tr,-,-,-,-,-,-,0.2,-,"試料： グリーンアスパラガス
廃棄部位： 株元　 "
06,06008,396,アスパラガス　若茎　ゆで　　　,0,24,100,92.0,2.6,(1.8),0.1,(0.1),(0.02),(0),(0.05),Tr,4.6,(2.3),0.5,1.6,2.1,0.7,2,260,19,12,61,0.6,0.6,0.13,0.23,-,-,-,-,(0),2,360,8,370,30,(0),1.6,0,0.1,0,46,0.14,0.14,1.1,0.08,(0),180,0.54,-,16,0,-,Tr,-,-,-,-,-,-,-,96,"試料： グリーンアスパラガス
株元を除いたもの　 "
06,06327,397,アスパラガス　若茎　油いため　　　,0,57,239,88.3,2.9,(2.0),3.9,(3.7),(0.31),(2.19),(1.06),(Tr),4.1,(2.3),0.4,1.7,2.1,0.8,3,310,21,10,66,0.7,0.5,0.11,0.22,-,-,-,-,(0),4,370,11,380,31,(0),2.0,Tr,1.3,0,48,0.15,0.17,1.2,0.11,(0),220,0.58,-,14,0,-,0,-,-,-,-,-,3.6,-,90,株元を除いたもの　 
06,06009,398,アスパラガス　水煮缶詰　　　,0,22,92,91.9,2.4,(1.6),0.1,(0.1),(0.02),(Tr),(0.04),(0),4.3,(2.3),0.4,1.3,1.7,1.3,350,170,21,7,41,0.9,0.3,0.07,0.05,-,-,-,-,(0),0,7,0,7,1,(0),0.4,0,0,0,4,0.07,0.06,1.2,0.02,(0),15,0.12,-,11,0.9,-,-,-,-,-,-,-,-,-,-,"試料： ホワイトアスパラガス
液汁を除いたもの　 "
