07,07001,751,あけび　果肉　生　　　,0,82,343,77.1,0.5,-,0.1,-,-,-,-,0,22.0,-,0.6,0.5,1.1,0.3,Tr,95,11,14,22,0.3,0.1,0.09,0.15,-,-,-,-,(0),0,0,0,0,(0),(0),0.2,0,0,0,(0),0.07,0.03,0.3,0.08,0,30,0.29,-,65,0,-,-,-,-,-,-,-,-,-,-,"試料： みつばあけび
全果に対する割合： 果肉 20 %、種子 7 %　 "
07,07002,752,あけび　果皮　生　　　,0,34,142,90.4,0.3,-,0.3,-,-,-,-,0,8.6,-,1.4,1.7,3.1,0.4,2,240,18,9,13,0.1,0.1,0.05,0.17,-,-,-,-,(0),0,0,0,0,(0),(0),0.6,0,Tr,0,(0),0.03,0.06,0.1,0.09,0,16,0.47,-,9,0,-,-,-,-,-,-,-,-,-,-,"試料： みつばあけび
全果に対する割合： 果皮 70 %、へた 3 %　 "
07,07003,753,アセロラ　酸味種　生　　　,25,36,151,89.9,0.7,-,0.1,Tr,0.01,Tr,0.01,0,9.0,-,0.8,1.1,1.9,0.3,7,130,11,10,18,0.5,0.5,0.31,-,-,-,-,-,0,0,370,-,370,31,(0),0.7,0.1,1.4,0.2,(0),0.03,0.04,0.3,0,0,45,0.25,-,1700,0,-,-,-,-,-,-,-,-,-,-,"試料： 冷凍品
廃棄部位： 果柄及び種子　 "
07,07159,754,アセロラ　甘味種　生　　　,25,36,151,89.9,0.7,-,0.1,-,-,-,-,0,9.0,-,0.8,1.1,1.9,0.3,7,130,11,10,18,0.5,0.5,0.31,-,-,-,-,-,0,0,370,-,370,31,(0),0.7,0.1,1.4,0.2,(0),0.03,0.04,0.3,0,0,45,0.25,-,800,0,-,-,-,-,-,-,-,-,-,-,"試料： 冷凍品
廃棄部位： 果柄及び種子　 "
07,07004,755,アセロラ　10 %果汁入り飲料　　,0,42,176,89.4,0.1,-,0,-,-,-,-,0,10.5,-,0.1,0.1,0.2,Tr,1,13,1,1,2,0.1,0.1,0.04,-,-,-,-,-,0,0,35,-,35,3,(0),0.1,Tr,0.1,Tr,(0),Tr,Tr,Tr,0,0,5,0.03,-,120,0,-,-,-,-,-,-,-,-,-,-,　 
07,07005,756,アテモヤ　生　　　,35,79,331,77.7,1.8,(1.1),0.4,(0.3),(0.14),(0.03),(0.11),0,19.4,-,0.7,2.6,3.3,0.7,4,340,26,29,24,0.3,0.2,0.09,0.20,-,-,-,-,(0),0,0,0,0,(0),(0),0.2,0,0,0,(0),0.08,0.12,0.9,0.28,0,23,0.23,-,14,0,-,-,-,-,-,-,-,-,-,-,廃棄部位： 果皮及び種子　 
07,07006,757,アボカド　生　　　,30,187,782,71.3,2.5,1.8,18.7,16.9,3.21,10.82,2.16,Tr,6.2,(0.8),1.7,3.6,5.3,1.3,7,720,9,33,55,0.7,0.7,0.24,0.18,0,1,0,2,(0),15,53,29,75,6,(0),3.3,0.1,0.2,0,(0),0.10,0.21,2.0,0.32,(0),84,1.65,5.3,15,0,-,-,-,-,-,-,-,-,-,-,"別名： アボガド
廃棄部位： 果皮及び種子　 "
07,07007,758,あんず　生　　　,5,36,151,89.8,1.0,(0.8),0.3,(0.2),(0.02),(0.13),(0.06),(0),8.5,(4.8),0.6,1.0,1.6,0.4,2,200,9,8,15,0.3,0.1,0.04,0.21,0,0,0,1,(0),0,1400,190,1500,120,(0),1.7,0.1,0.1,0,(0),0.02,0.02,Tr,0.05,(0),2,0.30,0.5,3,0,-,-,-,-,-,-,-,-,-,-,"別名： アプリコット
廃棄部位： 核及び果柄　 "
07,07008,759,あんず　乾　　　,0,288,1205,16.8,9.2,(6.6),0.4,(0.1),(0.01),(0.06),(0.06),(0),70.4,(49.9),4.3,5.5,9.8,3.2,15,1300,70,45,120,2.3,0.9,0.43,0.32,-,-,-,-,(0),0,4800,270,5000,410,(0),1.4,Tr,0,0,(0),0,0.03,3.5,0.18,(0),10,0.53,-,Tr,0,-,-,-,-,-,-,-,-,-,-,"別名： アプリコット
果皮及び核を除いたもの　 "
07,07009,760,あんず　缶詰　　　,0,81,339,79.8,0.5,(0.4),0.4,(0.3),(0.03),(0.16),(0.08),(0),18.9,-,0.4,0.4,0.8,0.4,4,190,18,7,14,0.2,0.1,0.03,0.03,-,-,-,-,(0),0,520,55,550,46,(0),0.9,0,0,0,(0),0.01,0.01,0.1,0.04,(0),2,0,-,Tr,0,-,-,-,-,-,-,-,-,-,-,"別名： アプリコット
試料: ヘビーシラップ漬
液汁を含んだもの (液汁 40 % )
ビタミンC： 酸化防止用として添加品あり　 "
