13,13001,1760,＜牛乳及び乳製品＞（液状乳類）　生乳　ジャージー種　　,0,80,335,85.9,3.6,(3.2),5.1,4.9,3.37,1.09,0.18,17,4.7,-,(0),(0),(0),0.7,55,140,130,13,110,0.1,0.4,0.01,Tr,21,4,0,5,50,-,-,-,6,51,0.1,0.1,0,Tr,0,1,0.02,0.21,0.1,0.03,0.4,3,0.24,2.0,1,0.1,-,-,-,-,-,-,-,-,-,-,"未殺菌のもの
(100 g： 96.9 mL、100 mL： 103.2 g)　 "
13,13002,1761,＜牛乳及び乳製品＞（液状乳類）　生乳　ホルスタイン種　　,0,66,276,87.7,3.2,2.7,3.7,3.8,2.36,1.06,0.15,12,4.7,4.7,(0),(0),(0),0.7,40,140,110,10,91,Tr,0.4,Tr,Tr,14,3,0,4,37,-,-,-,6,37,Tr,0.1,0,0,0,1,0.04,0.15,0.1,0.03,0.3,5,0.53,2.4,1,0.1,-,-,-,-,-,-,-,-,-,-,"未殺菌のもの
(100 g： 96.9 mL、100 mL： 103.2 g)　 "
13,13003,1762,＜牛乳及び乳製品＞（液状乳類）　普通牛乳　　　,0,67,280,87.4,3.3,2.9,3.8,3.5,2.33,0.87,0.12,12,4.8,4.7,(0),(0),(0),0.7,41,150,110,10,93,0.02,0.4,0.01,Tr,16,3,0,4,38,0,6,0,6,38,0.3,0.1,0,0,0,2,0.04,0.15,0.1,0.03,0.3,5,0.55,1.8,1,0.1,-,-,-,-,-,-,-,-,-,-,"(100 g： 96.9 mL、100 mL： 103.2 g)
鉄： Trであるが、利用上の便宜のため小数第2位まで記載
ビタミンD： ビタミンD活性代謝物を含む（ビタミンD活性代謝物を含まない場合： Tr）　 "
13,13004,1763,＜牛乳及び乳製品＞（液状乳類）　加工乳　濃厚　　,0,73,305,86.3,3.5,(3.1),4.2,4.2,2.72,1.13,0.14,16,5.2,(5.1),(0),(0),(0),0.8,55,170,110,13,100,0.1,0.4,Tr,Tr,-,-,-,-,34,-,-,-,15,35,Tr,0.1,Tr,Tr,Tr,1,0.03,0.17,0.1,0.05,0.4,Tr,0.52,-,Tr,0.1,-,-,-,-,-,-,-,-,-,-,(100 g： 96.2 mL、100 mL： 104.0 g)　 
13,13005,1764,＜牛乳及び乳製品＞（液状乳類）　加工乳　低脂肪　　,0,46,192,88.8,3.8,3.3,1.0,1.0,0.67,0.23,0.03,6,5.5,5.1,(0),(0),(0),0.9,60,190,130,14,90,0.1,0.4,0.01,0.01,-,-,-,-,13,-,-,-,Tr,13,Tr,Tr,Tr,Tr,Tr,Tr,0.04,0.18,0.1,0.04,0.4,Tr,0.52,-,Tr,0.2,-,-,-,-,-,-,-,-,-,-,(100 g： 96.4 mL、100 mL： 103.7 g)　 
13,13006,1765,＜牛乳及び乳製品＞（液状乳類）　脱脂乳　　　,0,33,138,91.1,3.4,(3.0),0.1,0.1,0.07,0.02,Tr,3,4.7,(5.2),(0),(0),(0),0.7,50,150,100,10,95,0.1,0.4,0.01,Tr,-,-,-,-,Tr,-,-,-,Tr,Tr,Tr,Tr,0,0,0,Tr,0.04,0.15,0.1,0.04,0.6,Tr,0.59,-,2,0.1,-,-,-,-,-,-,-,-,-,-,(100 g： 96.5 mL、100 mL： 103.6 g)　 
13,13007,1766,＜牛乳及び乳製品＞（液状乳類）　乳飲料　コーヒー　　,0,56,234,88.1,2.2,1.8,2.0,2.0,1.32,0.53,0.06,8,7.2,8.0,(0),(0),(0),0.5,30,85,80,10,55,0.1,0.2,Tr,0.01,8,1,0,2,5,-,-,-,Tr,5,Tr,0.1,Tr,Tr,Tr,1,0.02,0.09,0.1,Tr,0.1,Tr,0.27,1.7,Tr,0.1,-,-,-,-,-,-,-,-,0.1,-,(100 g： 95.0 mL、100 mL： 105.3 g)　 
13,13008,1767,＜牛乳及び乳製品＞（液状乳類）　乳飲料　フルーツ　　,0,46,192,88.3,1.2,-,0.2,0.2,0.13,0.04,0.01,2,9.9,-,(0),(0),(0),0.4,20,65,40,6,36,Tr,0.1,Tr,0.01,-,-,-,-,(0),-,-,-,(0),(0),Tr,Tr,Tr,Tr,0,Tr,0.01,0.06,0.1,Tr,0.1,Tr,0.15,-,Tr,0.1,-,-,-,-,-,-,-,-,-,-,(100 g： 95.1 mL、100 mL： 105.1 g)　 
13,13009,1768,＜牛乳及び乳製品＞（粉乳類）　全粉乳　　　,0,500,2092,3.0,25.5,(22.3),26.2,25.5,16.28,7.17,0.72,93,39.3,(35.9),(0),(0),(0),6.0,430,1800,890,92,730,0.4,2.5,0.04,0.02,-,-,-,-,170,-,-,-,70,180,0.2,0.6,0,0,0,8,0.25,1.10,0.8,0.13,1.6,2,3.59,-,5,1.1,-,-,-,-,-,-,-,-,-,-,　 
13,13010,1769,＜牛乳及び乳製品＞（粉乳類）　脱脂粉乳　　　,0,359,1502,3.8,34.0,29.9,1.0,0.7,0.44,0.18,0.03,25,53.3,50.3,(0),(0),(0),7.9,570,1800,1100,110,1000,0.5,3.9,0.10,-,120,27,1,35,6,-,-,-,Tr,6,Tr,Tr,0,0,0,Tr,0.30,1.60,1.1,0.27,1.8,1,4.17,18.7,5,1.4,-,-,-,-,-,-,-,-,1.8,-,別名： スキムミルク　 
13,13011,1770,＜牛乳及び乳製品＞（粉乳類）　乳児用調製粉乳　　　,0,514,2151,2.6,12.4,10.5,26.8,26.0,11.27,8.44,5.07,63,55.9,53.9,(0),(0),(0),2.3,140,500,370,40,220,6.5,2.8,0.34,0.05,41,8,4,16,560,-,-,-,85,560,9.3,5.5,0,0,0,24,0.41,0.72,5.4,0.35,1.6,82,2.20,4.4,53,0.4,-,-,-,-,-,-,-,-,-,-,"育児用栄養強化品
別名： 育児用粉ミルク　 "
13,13012,1771,＜牛乳及び乳製品＞（練乳類）　無糖練乳　　　,0,144,602,72.5,6.8,(6.0),7.9,7.5,4.88,2.10,0.13,27,11.2,(11.3),(0),(0),(0),1.6,140,330,270,21,210,0.2,1.0,0.02,-,-,-,-,-,48,-,-,-,18,50,Tr,0.2,0,0,0,3,0.06,0.35,0.2,0.01,0.1,1,1.10,-,Tr,0.4,-,-,-,-,-,-,-,-,-,-,別名： エバミルク　 
13,13013,1772,＜牛乳及び乳製品＞（練乳類）　加糖練乳　　　,0,332,1388,26.1,7.7,6.8,8.5,8.4,5.59,2.16,0.26,19,56.0,55.9,(0),(0),(0),1.6,96,400,260,25,220,0.1,0.8,0.02,0.01,35,6,0,9,120,0,20,1,20,120,0.1,0.2,0,Tr,0,0,0.08,0.37,0.3,0.02,0.7,1,1.29,3.2,2,0.2,-,-,-,-,-,-,-,-,0.4,-,別名： コンデンスミルク　 
13,13014,1773,＜牛乳及び乳製品＞（クリーム類）　クリーム　乳脂肪　　,0,433,1812,49.5,2.0,1.7,45.0,(41.5),(27.62),(10.33),(1.39),120,3.1,2.7,(0),(0),(0),0.4,27,80,60,4,50,0.1,0.2,0.02,-,8,2,1,14,380,1,110,2,110,390,0.5,0.8,0,0.1,Tr,14,0.02,0.09,Tr,Tr,0.2,Tr,0.13,1.2,Tr,0.1,-,-,-,-,-,-,-,-,0.1,-,　 
