02,02001,162,＜いも類＞きくいも　塊茎　生　　　,20,35,147,81.7,1.9,-,0.4,-,-,-,-,(0),14.7,(2.8),0.5,1.4,1.9,1.3,1,610,14,16,66,0.3,0.3,0.17,0.08,1,Tr,Tr,2,(0),0,Tr,0,Tr,0,(0),0.2,Tr,0,0,(0),0.08,0.04,1.6,0.09,(0),20,0.37,3.7,10,0,-,-,-,-,-,-,-,-,-,-,"廃棄部位： 表層
エネルギー： 暫定値　 "
02,02041,163,＜いも類＞きくいも　塊茎　水煮　　　,0,28,117,85.4,1.6,-,0.5,-,-,-,-,(0),11.3,(2.2),0.5,1.6,2.1,1.2,1,470,13,13,56,0.3,0.3,0.14,0.07,-,-,-,-,(0),0,Tr,0,Tr,0,(0),0.2,0,0,0,(0),0.06,0.03,1.2,0.06,(0),19,0.29,-,6,0,-,-,-,-,-,-,-,-,-,92,エネルギー： 暫定値　 
02,02002,164,＜いも類＞こんにゃく　精粉　　　,0,177,741,6.0,3.0,-,0.1,-,-,-,-,(0),85.3,-,73.3,6.6,79.9,5.6,18,3000,57,70,160,2.1,2.2,0.27,0.41,4,1,5,44,(0),-,-,-,(0),(0),(0),0.2,0,0,0,(0),(0),(0),(0),1.20,(0),65,1.52,4.5,(0),0,-,-,-,-,-,-,-,-,-,-,"こんにゃく製品の原料
エネルギー： 暫定値　 "
02,02003,165,＜いも類＞こんにゃく　板こんにゃく　精粉こんにゃく　　,0,5,21,97.3,0.1,-,Tr,-,-,-,-,(0),2.3,-,0.1,2.1,2.2,0.3,10,33,43,2,5,0.4,0.1,0.02,0.02,-,-,-,-,(0),-,-,-,(0),(0),(0),0,0,0,0,(0),(0),(0),(0),0.02,(0),1,0,-,(0),0,-,-,-,-,-,-,-,-,-,-,"突きこんにゃく、玉こんにゃくを含む
エネルギー： 暫定値　 "
02,02004,166,＜いも類＞こんにゃく　板こんにゃく　生いもこんにゃく　　,0,7,29,96.2,0.1,-,0.1,-,-,-,-,(0),3.3,-,Tr,3.0,3.0,0.3,2,44,68,5,7,0.6,0.2,0.04,0.05,93,0,1,1,(0),0,0,0,0,(0),(0),Tr,0,0,0,(0),0,0,Tr,0.02,(0),2,0,0.1,0,0,-,-,-,-,-,-,-,-,-,-,"突きこんにゃく、玉こんにゃくを含む
エネルギー： 暫定値　 "
02,02042,167,＜いも類＞こんにゃく　赤こんにゃく　　　,0,5,22,97.1,0.1,-,Tr,-,-,-,-,(0),2.5,-,0.1,2.3,2.3,0.3,11,48,46,3,5,78.5,0.1,0.03,0.02,-,-,-,-,(0),(0),(0),(0),(0),(0),(0),0,0,0,0,(0),0,(0),(0),0.02,(0),1,0,-,(0),0,-,-,-,-,-,-,-,-,-,-,"三酸化二鉄を加え、赤色に着色したもの
エネルギー： 暫定値　 "
02,02043,168,＜いも類＞こんにゃく　凍みこんにゃく　乾　　,0,167,699,12.0,3.3,-,1.4,-,-,-,-,(0),77.1,-,0.9,70.4,71.3,6.2,52,950,1600,110,150,12.2,4.4,0.86,1.22,-,(0),-,-,(0),0,0,0,0,(0),(0),0.4,0,0,0,(0),0,0,0.3,0.48,(0),61,0,-,0,0.1,-,-,-,-,-,-,-,-,-,-,エネルギー： 暫定値　 
02,02044,169,＜いも類＞こんにゃく　凍みこんにゃく　ゆで　　,0,36,152,80.8,0.7,-,0.3,-,-,-,-,(0),16.8,-,0.2,15.3,15.5,1.4,11,210,340,23,32,2.7,1.0,0.19,0.27,-,(0),-,-,(0),0,0,0,0,(0),(0),0.1,0,0,0,(0),0,0,0.1,0.10,(0),13,0,-,0,0,-,-,-,-,-,-,-,-,-,430,"水戻し後、ゆでたもの
エネルギー： 暫定値　 "
02,02005,170,＜いも類＞こんにゃく　しらたき　　　,0,6,25,96.5,0.2,-,Tr,-,-,-,-,(0),3.0,-,0,2.9,2.9,0.3,10,12,75,4,10,0.5,0.1,0.02,0.03,-,-,-,-,(0),-,-,-,(0),(0),(0),0,0,0,0,(0),(0),(0),(0),0.01,(0),0,0,-,(0),0,-,-,-,-,-,-,-,-,-,-,"別名： 糸こんにゃく
エネルギー： 暫定値　 "
02,02006,171,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　生　　,9,134,559,65.6,1.2,1.0,0.2,0.1,0.03,Tr,0.02,(0),31.9,30.9,0.6,1.6,2.2,1.0,11,480,36,24,47,0.6,0.2,0.17,0.41,1,0,1,4,(0),0,28,0,28,2,(0),1.5,Tr,Tr,0,(0),0.11,0.04,0.8,0.26,(0),49,0.90,4.1,29,0,-,-,-,-,-,-,-,-,0.4,-,"別名： かんしょ（甘藷）
廃棄部位： 表層及び両端（表皮の割合： 2 %）　 "
02,02007,172,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　蒸し　　,5,134,559,65.6,1.2,1.0,0.2,(0.1),(0.03),(Tr),(0.02),(0),31.9,32.6,0.6,1.7,2.3,1.0,11,480,36,24,47,0.6,0.2,0.17,0.41,1,Tr,Tr,4,(0),0,29,1,29,2,(0),1.5,Tr,Tr,0,(0),0.11,0.04,0.8,0.27,(0),50,0.90,5.0,29,0,-,-,-,-,-,-,-,-,-,98,"別名： かんしょ（甘藷）
廃棄部位： 表皮及び両端　 "
02,02008,173,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　焼き　　,10,163,682,58.1,1.4,1.2,0.2,(0.1),(0.03),(Tr),(0.03),(0),39.0,36.7,1.1,2.4,3.5,1.3,13,540,34,23,55,0.7,0.2,0.20,0.32,-,-,-,-,(0),-,-,-,6,1,(0),1.3,Tr,0,0,(0),0.12,0.06,1.0,0.33,(0),47,1.30,-,23,0,-,-,-,-,-,-,-,-,0.5,-,"別名： かんしょ（甘藷）、石焼き芋
廃棄部位： 表層　 "
02,02045,174,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　生　　,2,140,586,64.6,0.9,0.7,0.5,0.1,0.06,Tr,0.05,(0),33.1,31.0,0.9,1.8,2.8,0.9,23,380,40,24,46,0.5,0.2,0.13,0.37,1,0,0,5,(0),0,40,0,40,3,(0),1.0,0,Tr,0,(0),0.10,0.02,0.6,0.20,(0),49,0.48,4.8,25,0.1,-,-,-,-,-,-,-,-,0.4,-,"別名： かんしょ（甘藷）
廃棄部位： 両端
同一試料の皮むき、生の分析値： 第2章別表参照　 "
02,02046,175,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　蒸し　　,4,140,586,64.2,0.9,0.7,0.2,0.1,0.03,Tr,0.05,(0),33.7,31.1,1.0,2.8,3.8,1.0,22,390,40,23,47,0.5,0.2,0.13,0.39,1,Tr,0,4,(0),0,45,0,45,4,(0),1.4,0,Tr,0,(0),0.10,0.02,0.7,0.20,(0),54,0.56,4.9,20,0.1,-,-,-,-,-,-,-,-,0.5,99,"別名： かんしょ（甘藷）
廃棄部位： 両端　 "
02,02047,176,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　天ぷら　　,0,221,923,52.4,1.4,1.2,6.8,6.3,0.48,3.92,1.68,-,38.4,36.3,0.9,2.2,3.1,1.0,36,380,51,25,57,0.5,0.2,0.14,0.63,1,Tr,0,5,(0),0,58,0,58,5,(0),2.6,Tr,2.7,0,11,0.11,0.04,0.7,0.20,0,57,0.60,5.3,21,0.1,-,-,-,-,-,-,-,-,0.5,83,"別名： かんしょ（甘藷）
増加した脂質量、衣等の割合： 第3章表17参照　　 "
02,02009,177,＜いも類＞（さつまいも類）さつまいも　蒸し切干　　　,0,303,1268,22.2,3.1,2.6,0.6,0.2,0.06,0.01,0.12,(0),71.9,66.5,2.4,3.5,5.9,2.2,18,980,53,45,93,2.1,0.5,0.30,0.40,-,-,-,-,(0),-,-,-,Tr,(0),(0),1.3,Tr,0,0,(0),0.19,0.08,1.6,0.41,(0),13,1.35,-,9,0,-,-,-,-,-,-,-,-,1.0,-,別名： かんしょ（甘藷）、乾燥いも、干しいも　 
02,02048,178,＜いも類＞（さつまいも類）むらさきいも　塊根　皮むき　生　　,15,133,558,66.0,1.2,0.9,0.3,0.1,0.05,Tr,0.04,(0),31.7,29.9,0.8,1.7,2.5,0.8,30,370,24,26,56,0.6,0.2,0.21,0.50,1,0,0,2,(0),0,4,0,4,Tr,(0),1.3,0,Tr,0,(0),0.12,0.02,1.3,0.18,(0),22,0.54,6.1,29,0.1,-,-,-,-,-,-,-,-,0.4,-,"別名： かんしょ（甘藷）
廃棄部位： 表層及び両端　 "
02,02049,179,＜いも類＞（さつまいも類）むらさきいも　塊根　皮むき　蒸し　　,6,132,554,66.2,1.2,1.0,0.3,0.1,0.06,Tr,0.08,(0),31.4,29.2,0.9,2.1,3.0,0.9,28,420,34,26,55,0.6,0.3,0.22,0.44,Tr,0,0,2,(0),0,5,0,5,Tr,(0),1.9,0,Tr,0,(0),0.13,0.03,1.5,0.16,(0),24,0.61,6.0,24,0.1,-,-,-,-,-,-,-,-,0.5,99,"別名： かんしょ（甘藷）
廃棄部位： 表皮及び両端　 "
02,02010,180,＜いも類＞（さといも類）　さといも　球茎　生　　,15,58,243,84.1,1.5,1.1,0.1,0.1,0.01,Tr,0.03,(0),13.1,11.2,0.8,1.5,2.3,1.2,Tr,640,10,19,55,0.5,0.3,0.15,0.19,Tr,1,0,8,(0),0,5,0,5,Tr,(0),0.6,0,0,0,(0),0.07,0.02,1.0,0.15,(0),30,0.48,3.1,6,0,-,-,-,-,-,-,-,-,0.6,-,廃棄部位： 表層　 
02,02011,181,＜いも類＞（さといも類）　さといも　球茎　水煮　　,0,59,247,84.0,1.5,1.3,0.1,(0.1),(0.01),(Tr),(0.03),(0),13.4,11.1,0.9,1.5,2.4,1.0,1,560,14,17,47,0.4,0.3,0.13,0.17,0,Tr,0,7,(0),0,4,0,4,Tr,(0),0.5,0,0,0,(0),0.06,0.02,0.8,0.14,(0),28,0.42,2.8,5,0,-,-,-,-,-,-,-,-,-,95,　 
02,02012,182,＜いも類＞（さといも類）　さといも　球茎　冷凍　　,0,72,301,80.9,2.2,1.7,0.1,0.1,0.02,0.01,0.03,(0),16.1,13.7,0.8,1.2,2.0,0.7,3,340,20,20,53,0.6,0.4,0.13,0.57,-,-,-,-,(0),0,5,0,5,Tr,(0),0.7,0,0,0,(0),0.07,0.01,0.7,0.14,(0),22,0.32,-,5,0,-,-,-,-,-,-,-,-,0.6,-,　 
02,02050,183,＜いも類＞（さといも類）　セレベス　球茎　生　　,25,89,371,76.4,2.2,1.7,0.3,0.2,0.07,0.02,0.11,(0),19.8,17.1,0.7,1.6,2.3,1.3,0,660,18,29,97,0.6,0.7,0.15,0.32,1,0,Tr,24,(0),0,14,2,15,1,(0),0.6,0,0,0,(0),0.10,0.03,1.7,0.21,(0),28,0.48,3.0,6,0,-,-,-,-,-,-,-,-,0.8,-,"別名： あかめいも
廃棄部位： 表層　 "
02,02051,184,＜いも類＞（さといも類）　セレベス　球茎　水煮　　,0,85,356,77.5,2.1,1.7,0.3,0.2,0.06,0.02,0.08,(0),19.1,16.6,0.7,1.5,2.2,1.0,0,510,17,24,82,0.6,0.8,0.12,0.31,Tr,0,0,20,(0),0,12,3,13,1,(0),0.6,0,0,0,(0),0.08,0.02,1.5,0.16,(0),23,0.38,2.7,4,0,-,-,-,-,-,-,-,-,0.6,100,別名： あかめいも　 
