17,17086,2060,＜調味料類＞（しょうゆ類）減塩しょうゆ　こいくち　,0,69,287,74.4,8.1,-,Tr,-,-,-,-,(0),9.0,-,(0),(0),(0),8.5,3300,260,31,74,170,2.1,0.9,Tr,1.17,1,10,3,84,0,-,-,-,-,-,(0),-,-,-,-,(0),0.07,0.17,1.5,0.17,0,57,0.46,11.1,(0),8.3,-,-,-,-,-,-,-,-,-,-,(100 g： 89.3 mL、100 mL： 112.0 g)　 
17,17087,2061,＜調味料類＞（しょうゆ類）だししょうゆ　,0,37,154,83.2,4.0,-,0,-,-,-,-,-,5.2,-,-,-,-,7.7,2900,230,16,35,87,0.9,0.5,0.01,-,750,8,2,24,0,-,-,-,0,0,-,-,-,-,-,0,0.03,0.09,1.1,0.09,0.2,17,0.26,6.2,0,7.3,-,-,-,-,-,-,-,-,-,-,　 
17,17088,2062,＜調味料類＞（しょうゆ類）照りしょうゆ　,0,170,712,55.0,2.4,(1.8),0,-,-,-,-,-,36.3,(18.9),-,-,-,4.2,1600,110,10,20,50,0.5,0.2,0.04,-,-,-,-,-,0,-,-,-,0,0,-,-,-,-,-,-,0.01,0.05,0.4,0.05,Tr,9,0.13,-,0,4.0,2.2,-,-,-,-,-,-,-,-,-,　 
17,17012,2063,＜調味料類＞（食塩類）食塩　　　,0,0,0,0.1,0,-,0,-,-,-,-,(0),0,-,(0),(0),(0),99.9,39000,100,22,18,(0),Tr,Tr,0.01,Tr,1,1,0,0,(0),-,-,-,(0),(0),(0),-,-,-,-,(0),(0),(0),(0),(0),(0),(0),(0),0,(0),99.5,-,-,-,-,-,-,-,-,-,-,塩事業センター及び日本塩工業会の品質規格では塩化ナトリウム 99%以上。　 
17,17013,2064,＜調味料類＞（食塩類）並塩　　　,0,0,0,1.8,0,-,0,-,-,-,-,(0),0,-,(0),(0),(0),98.2,38000,160,55,73,(0),Tr,Tr,0.02,Tr,-,-,-,-,(0),-,-,-,(0),(0),(0),-,-,-,-,(0),(0),(0),(0),(0),(0),(0),(0),-,(0),97.3,-,-,-,-,-,-,-,-,-,-,"別名： あら塩
塩事業センター及び日本塩工業会の品質規格では塩化ナトリウム 95%以上。　 "
17,17014,2065,＜調味料類＞（食塩類）精製塩　家庭用　　,0,0,0,Tr,0,-,0,-,-,-,-,(0),0,-,(0),(0),(0),100.0,39000,2,0,87,(0),0,0,Tr,0,-,-,-,-,(0),-,-,-,(0),(0),(0),-,-,-,-,(0),(0),(0),(0),(0),(0),(0),(0),-,(0),99.6,-,-,-,-,-,-,-,-,-,-,塩事業センターの品質規格では塩化ナトリウム 99.5%以上。　 
17,17089,2066,＜調味料類＞（食塩類）精製塩　業務用　　,0,0,0,Tr,0,-,0,-,-,-,-,(0),0,-,(0),(0),(0),100.0,39000,2,0,0,(0),0,0,Tr,0,-,-,-,-,(0),-,-,-,(0),(0),(0),-,-,-,-,(0),(0),(0),(0),(0),(0),(0),(0),-,(0),99.6,-,-,-,-,-,-,-,-,-,-,塩事業センターの品質規格では塩化ナトリウム 99.5%以上。　 
17,17090,2067,＜調味料類＞（食酢類）黒酢　　　,0,54,227,85.7,1.0,-,0,-,-,-,-,(0),9.0,-,(0),(0),(0),0.2,10,47,5,21,52,0.2,0.3,0.01,0.55,0,0,2,9,(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),0.02,0.01,0.6,0.06,0.1,1,0.07,1.0,(0),0,-,-,-,-,-,-,4.0,-,-,-,　 
17,17015,2068,＜調味料類＞（食酢類）穀物酢　　　,0,25,105,93.3,0.1,-,0,-,-,-,-,(0),2.4,-,(0),(0),(0),Tr,6,4,2,1,2,Tr,0.1,Tr,-,0,0,1,1,0,-,-,-,0,0,(0),-,-,-,-,(0),0.01,0.01,0.1,0.01,0.1,0,0,0.1,0,0,-,-,-,-,-,-,4.2,-,-,-,　 
17,17016,2069,＜調味料類＞（食酢類）米酢　　　,0,46,192,87.9,0.2,-,0,-,-,-,-,(0),7.4,-,(0),(0),(0),0.1,12,16,2,6,15,0.1,0.2,Tr,-,0,Tr,1,4,0,-,-,-,0,0,(0),-,-,-,-,(0),0.01,0.01,0.3,0.02,0.1,0,0.08,0.4,0,0,-,-,-,-,-,-,4.4,-,-,-,　 
17,17091,2070,＜調味料類＞（食酢類）果実酢　バルサミコ酢　　,0,99,414,74.2,0.5,-,0,-,-,-,-,(0),19.4,(16.4),(0),(0),(0),0.4,29,140,17,11,22,0.7,0.1,0.01,0.13,2,0,5,2,(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),0.01,0.01,0.2,0.05,Tr,Tr,0.03,1.4,(0),0.1,-,-,-,-,-,-,5.6,-,-,-,　 
17,17017,2071,＜調味料類＞（食酢類）果実酢　ぶどう酢　　,0,22,92,93.7,0.1,-,Tr,-,-,-,-,0,1.2,-,0,0,0,0.2,4,22,3,2,8,0.2,Tr,0.01,0.03,Tr,0,1,1,(0),Tr,Tr,-,Tr,(0),Tr,Tr,Tr,Tr,Tr,(Tr),Tr,Tr,Tr,Tr,0.1,Tr,0.08,0.1,Tr,0,-,-,-,-,-,-,4.8,-,-,-,別名： ワインビネガー、 ワイン酢　 
17,17018,2072,＜調味料類＞（食酢類）果実酢　りんご酢　　,0,26,109,92.6,0.1,-,0,-,-,-,-,(0),2.4,(0.5),(0),(0),(0),0.2,18,59,4,4,6,0.2,0.1,Tr,-,-,-,-,-,0,(0),0,(0),(0),(0),(Tr),-,-,-,-,Tr,0,0.01,0.1,0.01,0.3,0,0.06,-,0,0,-,-,-,-,-,-,4.7,-,-,-,別名： サイダービネガー　 
17,17019,2073,＜調味料類＞（だし類）かつおだし　　　,0,3,13,99.3,0.5,-,0.1,-,-,-,-,-,Tr,-,(0),(0),(0),0.1,20,26,2,3,17,Tr,Tr,Tr,Tr,1,7,0,0,(Tr),0,0,0,0,(Tr),-,0,0,0,0,0,0.01,0.01,1.4,0.02,0.4,0,0.06,0.1,0,0.1,-,-,-,-,-,-,-,-,-,-,液状だし　 
17,17020,2074,＜調味料類＞（だし類）昆布だし　　　,0,4,17,98.5,0.1,-,Tr,-,-,-,-,-,0.9,-,-,-,-,0.5,61,140,3,4,6,Tr,Tr,Tr,0.01,5400,0,0,0,(0),0,0,0,0,(0),-,0,0,0,0,0,Tr,Tr,Tr,0,0,2,0,0.1,Tr,0.2,-,-,-,-,-,-,-,-,-,-,液状だし　 
17,17021,2075,＜調味料類＞（だし類）かつお・昆布だし　　　,0,2,8,99.2,0.3,-,Tr,-,-,-,-,-,0.3,-,-,-,-,0.2,34,63,3,4,13,Tr,Tr,Tr,Tr,1500,4,0,0,(Tr),0,0,0,0,(Tr),-,0,0,0,0,0,0.01,0.01,0.9,0.01,0.3,1,0.04,0.1,Tr,0.1,-,-,-,-,-,-,-,-,-,-,液状だし　 
17,17022,2076,＜調味料類＞（だし類）しいたけだし　　　,0,4,17,98.8,0.1,-,0,-,-,-,-,-,0.9,-,-,-,-,0.2,3,29,1,3,8,0.1,Tr,0.01,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,Tr,0.02,0.6,0.02,0,2,0.57,-,0,0,-,-,-,-,-,-,-,-,-,-,液状だし　 
17,17023,2077,＜調味料類＞（だし類）煮干しだし　　　,0,1,4,99.7,0.1,-,0.1,-,-,-,-,-,Tr,-,(0),(0),(0),0.1,38,25,3,2,7,Tr,Tr,Tr,Tr,-,-,-,-,-,0,0,0,0,-,-,0,0,0,0,0,0.01,Tr,0.3,Tr,0.2,1,0,-,0,0.1,-,-,-,-,-,-,-,-,-,-,液状だし　 
17,17024,2078,＜調味料類＞（だし類）鳥がらだし　　　,0,7,29,98.4,1.1,-,0.2,0.2,0.06,0.10,0.03,Tr,Tr,-,(0),(0),(0),0.3,30,65,2,2,21,0.5,Tr,0.01,0,-,-,-,-,(0),-,-,-,(0),(0),0,0,0,0,0,Tr,0.02,0.09,1.2,0.03,0.5,6,0.77,-,(0),0.1,-,-,-,-,-,-,-,-,-,-,液状だし　 
17,17025,2079,＜調味料類＞（だし類）中華だし　　　,0,3,13,99.0,0.8,-,0,-,-,-,-,-,Tr,-,-,-,-,0.2,20,90,3,5,40,Tr,Tr,Tr,0.01,-,-,-,-,-,0,0,0,0,-,-,0,0,0,0,0,0.15,0.03,1.3,0.05,0,1,0.26,-,0,0.1,-,-,-,-,-,-,-,-,-,-,液状だし　 
17,17026,2080,＜調味料類＞（だし類）洋風だし　　　,0,6,25,97.8,1.3,-,0,-,-,-,-,-,0.3,-,-,-,-,0.6,180,110,5,6,37,0.1,0.1,0.01,0.01,-,-,-,-,-,0,0,0,0,-,-,0,0,0,0,0,0.02,0.05,1.1,0.06,0.2,3,0.25,-,0,0.5,-,-,-,-,-,-,-,-,-,-,"別名： スープストック
液状だし　 "
17,17027,2081,＜調味料類＞（だし類）固形ブイヨン　,0,235,983,0.8,7.0,(8.2),4.3,4.1,2.12,1.73,0.03,Tr,42.1,-,0.3,0,0.3,45.8,17000,200,26,19,76,0.4,0.1,0.10,0.10,1,2,2,2,0,0,0,0,0,0,Tr,0.7,Tr,0.3,0,2,0.03,0.08,1.1,0.40,0.1,16,0.28,0.5,0,43.2,-,-,-,-,-,-,-,-,-,-,"別名： 固形コンソメ
顆粒状の製品を含む
固形だし　 "
17,17092,2082,＜調味料類＞（だし類）顆粒おでん用　,0,168,702,0.9,9.6,(9.9),0.1,(0.1),(0.02),(0.01),(0.03),7,32.2,-,0,0,0,57.3,22000,210,30,33,130,0.8,0.4,0.04,-,2,26,3,15,0,-,-,-,0,0,0.2,-,-,-,-,0,0.02,0.11,2.0,0.07,0.4,14,0.20,4.8,0,56.1,-,-,-,-,-,-,-,-,-,-,顆粒だし　 
17,17093,2083,＜調味料類＞（だし類）顆粒中華だし　　　,0,211,882,1.2,12.6,10.4,1.6,1.5,0.55,0.67,0.17,7,36.6,-,(0),(0),(0),48.1,19000,910,84,33,240,0.6,0.5,0.05,0.16,31,8,8,6,2,2,7,0,8,3,0,0.9,0.1,5.0,1.4,-,0.06,0.56,8.0,0.29,0.3,170,1.48,5.1,0,47.5,-,-,-,-,-,-,-,-,-,-,"粉末製品を含む
顆粒だし　 "
17,17028,2084,＜調味料類＞（だし類）顆粒和風だし　　　,0,224,937,1.6,24.2,(27.0),0.3,0.2,0.08,0.04,0.08,23,31.1,-,0,0,0,42.8,16000,180,42,20,260,1.0,0.5,0.12,0.09,5,74,8,1,0,0,0,0,0,0,0.8,0.1,0,0,0,0,0.03,0.20,5.5,0.06,1.4,14,0.18,3.8,0,40.6,-,-,-,-,-,-,-,-,-,-,"別名： 顆粒風味調味料
粉末製品を含む
顆粒だし　 "
